DATE,UMCSENT
1953-01-01,84.0666666666666667
1954-01-01,83.9666666666666667
1955-01-01,98.2333333333333333
1956-01-01,99.4333333333333333
1957-01-01,88.3000000000000000
1958-01-01,83.4000000000000000
1959-01-01,94.5500000000000000
1960-01-01,95.1500000000000000
1961-01-01,94.0750000000000000
1962-01-01,95.4750000000000000
1963-01-01,95.2250000000000000
1964-01-01,99.6250000000000000
1965-01-01,103.4250000000000000
1966-01-01,93.8000000000000000
1967-01-01,94.9750000000000000
1968-01-01,93.4250000000000000
1969-01-01,88.9500000000000000
1970-01-01,75.8750000000000000
1971-01-01,80.6000000000000000
1972-01-01,91.8250000000000000
1973-01-01,76.8500000000000000
1974-01-01,64.4500000000000000
1975-01-01,70.4250000000000000
1976-01-01,86.1500000000000000
1977-01-01,87.6750000000000000
1978-01-01,79.4083333333333333
1979-01-01,66.0250000000000000
1980-01-01,64.4166666666666667
1981-01-01,70.6750000000000000
1982-01-01,67.9750000000000000
1983-01-01,87.3833333333333333
1984-01-01,97.4750000000000000
1985-01-01,93.1666666666666667
1986-01-01,94.7916666666666667
1987-01-01,90.6416666666666667
1988-01-01,93.7333333333333333
1989-01-01,92.7583333333333333
1990-01-01,81.6166666666666667
1991-01-01,77.5500000000000000
1992-01-01,77.2500000000000000
1993-01-01,82.7916666666666667
1994-01-01,92.2666666666666667
1995-01-01,92.2416666666666667
1996-01-01,93.6083333333333333
1997-01-01,103.2166666666666667
1998-01-01,104.6166666666666667
1999-01-01,105.8250000000000000
2000-01-01,107.5750000000000000
2001-01-01,89.2416666666666667
2002-01-01,89.5833333333333333
2003-01-01,87.6250000000000000
2004-01-01,95.2000000000000000
2005-01-01,88.5500000000000000
2006-01-01,87.3083333333333333
2007-01-01,85.5833333333333333
2008-01-01,63.7500000000000000
2009-01-01,66.2583333333333333
2010-01-01,71.8416666666666667
2011-01-01,67.3500000000000000
2012-01-01,76.5416666666666667
2013-01-01,79.2083333333333333
2014-01-01,84.1250000000000000
2015-01-01,92.9416666666666667
2016-01-01,91.8416666666666667
2017-01-01,96.7666666666666667
2018-01-01,98.3666666666666667
2019-01-01,95.9833333333333333
2020-01-01,81.5416666666666667
2021-01-01,77.6166666666666667
2022-01-01,58.9750000000000000
2023-01-01,65.3500000000000000
