,GDP Deflator,Issued Building Permits,Inflation Rate,GDP Per Capita,Homeownership Rate,Debt to GDP Ratio,New Housing Units,Industrial Production Index,Capacity Utilization Index,Gini Coefficient,Business Confidence Index,Consumer Confidence Index,Federal Funds Rate,Unemployment Rate,Labor Participation Rate,Federal Surplus to GDP Ratio
1984,54.962158972125,1689.6666666666667,4.3005,34667.0,64.5,38.4406675,1766.25,54.07354999999999,80.50535833333333,0.415,100.62000583333332,97.475,10.225,7.508333333333333,64.36666666666666,-4.591
1985,56.702471741075,1732.3333333333333,3.5456,35792.75,63.9,41.77682,1741.4166666666667,54.735766666666656,79.27640833333334,0.419,99.10166666666666,93.16666666666666,8.100833333333332,7.191666666666666,64.80833333333334,-4.89304
1986,57.84697924315,1771.0833333333333,1.898,36698.0,63.8,45.7647975,1811.9166666666667,55.290366666666664,78.554375,0.425,99.54163,94.79166666666666,6.805,7.0,65.24166666666666,-4.83067
1987,59.27572335835,1541.3333333333333,3.6646,37627.25,64.0,48.0750475,1630.5,58.172566666666675,81.16408333333332,0.426,100.9083625,90.64166666666665,6.6575,6.175000000000001,65.575,-3.0839
1988,61.365480676475,1452.0833333333333,4.0777,38844.25,63.8,49.2729375,1487.8333333333333,61.18274166666666,84.25189166666667,0.426,100.68095,93.7333333333333,7.5683333333333325,5.491666666666667,65.90833333333335,-2.96343
1989,63.775871257375,1350.3333333333333,4.827,39892.5,63.9,50.29316,1382.0833333333333,61.73683333333332,83.72156666666666,0.431,99.04697333333331,92.75833333333331,9.216666666666667,5.258333333333334,66.44166666666666,-2.70561
1990,66.16809267837499,1123.6666666666667,5.398,40192.0,63.9,53.626279999999994,1203.1666666666667,62.330966666666654,82.40588333333334,0.428,98.49328666666666,81.61666666666666,8.099166666666667,5.616666666666667,66.53333333333332,-3.7067
1991,68.401610152825,945.6666666666666,4.235,39617.0,64.1,58.727312500000004,1008.75,61.41193333333333,79.965525,0.428,98.65000333333332,77.55,5.6875,6.8500000000000005,66.16666666666667,-4.37207
1992,69.958510701825,1098.0,3.0288,40470.25,64.1,61.7491875,1201.4166666666667,63.20856666666666,80.68634999999999,0.433,99.87319333333332,77.25,3.521666666666667,7.491666666666667,66.44166666666666,-4.45255
1993,71.61812498385001,1207.25,2.9517,41047.75,64.0,63.8878375,1291.5833333333333,65.284925,81.57993333333332,0.454,99.8259625,82.79166666666666,3.0225000000000004,6.908333333333332,66.3,-3.71873
1994,73.14661468555,1366.9166666666667,2.6074,42187.25,64.0,64.20296249999998,1446.0,68.72228333333334,83.547875,0.456,101.03733333333332,92.26666666666665,4.201666666666667,6.1000000000000005,66.57500000000002,-2.78825
1995,74.68227276555,1335.8333333333333,2.8054,42810.75,64.7,64.7243825,1361.0,71.9066,83.92555833333334,0.45,99.14421,92.24166666666666,5.836666666666666,5.591666666666668,66.62500000000001,-2.14604
1996,76.047867589675,1419.0833333333333,2.9312,43910.25,65.4,64.4982675,1468.6666666666667,75.17113333333334,83.304325,0.455,99.30486166666665,93.6083333333333,5.298333333333333,5.408333333333334,66.76666666666667,-1.33072
1997,77.359961807775,1442.25,2.3377,45317.75,65.7,63.17769,1474.5833333333333,80.57399166666667,84.08085833333334,0.459,100.401075,103.21666666666665,5.46,4.941666666666667,67.10833333333335,-0.25513
1998,78.229388463125,1619.4166666666667,1.5523,46801.5,66.3,61.3389325,1621.1666666666667,85.30799166666667,82.86755000000001,0.456,99.35466416666665,104.61666666666666,5.353333333333334,4.5,67.08333333333334,0.76433
1999,79.335115446025,1663.9166666666667,2.188,48485.25,66.8,58.9942875,1647.25,89.04601666666666,81.91884166666667,0.458,100.28538583333332,105.825,4.97,4.216666666666666,67.08333333333333,1.3042
2000,81.133176878825,1598.3333333333333,3.3769,49914.5,67.4,55.61407,1573.3333333333333,92.49507499999999,81.61252499999999,0.462,99.64503333333332,107.575,6.235833333333333,3.966666666666667,67.06666666666666,2.30458
2001,82.96410008424999,1637.1666666666667,2.8262,49893.25,67.8,54.931445,1601.1666666666667,89.67666666666668,76.22750833333335,0.466,97.96223916666666,89.24166666666666,3.8874999999999997,4.741666666666666,66.83333333333336,1.21184
2002,84.252097565725,1749.0,1.586,50260.25,67.9,56.6450625,1710.25,89.97851666666666,75.025075,0.462,99.80156083333331,89.58333333333333,1.6666666666666663,5.783333333333334,66.58333333333333,-1.44347
2003,85.910244811325,1888.4166666666667,2.2701,51189.0,68.3,58.717535,1853.75,91.14219166666668,76.08796666666667,0.464,99.99675416666666,87.625,1.1275,5.991666666666666,66.24166666666667,-3.29583
2004,88.220440807725,2057.5833333333335,2.6772,52681.25,69.0,60.1163825,1949.5,93.57814166666667,78.23358333333333,0.466,101.61590833333332,95.2,1.3491666666666664,5.541666666666667,65.98333333333333,-3.37825
2005,90.9882044386,2160.0833333333335,3.3927,54014.25,68.9,60.8082975,2072.9166666666665,96.71440833333334,80.22885833333333,0.469,100.50229166666666,88.55,3.2133333333333334,5.083333333333333,66.03333333333335,-2.44145
2006,93.797410788075,1843.6666666666667,3.2259,54993.5,68.8,61.484382499999995,1811.9166666666667,98.92242500000002,80.56934166666667,0.47,99.97398333333331,87.30833333333332,4.964166666666666,4.608333333333333,66.16666666666667,-1.79638
2007,96.337533512025,1391.5,2.8527,55560.0,68.1,62.098164999999995,1341.8333333333333,101.45614999999998,80.78355,0.463,99.55455416666666,85.58333333333333,5.019166666666666,4.616666666666667,66.03333333333333,-1.11026
2008,98.20165527715,895.8333333333334,3.8391,55105.25,67.8,67.13855,900.0,97.94165,77.79301666666667,0.466,98.31529416666666,63.75,1.9274999999999995,5.8,66.02499999999999,-3.10465
2009,98.80253708495,582.0,-0.3555,53212.5,67.4,80.9604425,554.0,86.80916666666667,68.36185833333333,0.468,98.44261666666665,66.25833333333333,0.16,9.283333333333331,65.4,-9.75744
2010,100.0,603.6666666666666,1.64,54188.25,66.9,88.9541725,585.5,91.6213,73.29599166666667,0.47,100.89380833333333,71.84166666666667,0.17500000000000002,9.608333333333333,64.70833333333333,-8.60107
2011,102.064373468225,624.0,3.1568,54603.0,66.1,93.94041000000001,611.9166666666666,94.50347500000002,75.95676666666667,0.477,100.42644583333332,67.35,0.10166666666666668,8.933333333333334,64.10833333333335,-8.33091
2012,103.9665606257,828.5,2.0693,55422.25,65.4,98.36838750000001,783.75,97.38780833333334,76.80520833333334,0.477,99.67979416666665,76.54166666666666,0.13999999999999999,8.075000000000001,63.699999999999996,-6.62345
2013,105.733484268125,988.0,1.4648,56171.75,65.1,99.829175,928.1666666666666,99.34623333333332,77.105475,0.482,100.0684925,79.20833333333333,0.10750000000000003,7.358333333333333,63.258333333333326,-4.02694
2014,107.57371554445,1052.0833333333333,1.6222,57137.75,64.5,101.09735500000001,1000.25,102.32904166666667,78.66678333333333,0.48,100.55320833333332,84.125,0.08916666666666666,6.158333333333332,62.883333333333326,-2.75323
2015,108.5756412441,1177.4166666666667,0.1186,58363.25,63.7,100.267225,1106.75,100.880725,77.09060000000001,0.479,99.58706083333331,92.94166666666666,0.1325,5.275,62.65833333333334,-2.41574
2016,109.6058635524,1205.6666666666667,1.2616,58967.75,63.4,103.9553875,1177.0833333333333,98.69717500000002,75.37415833333333,0.481,99.62605,91.84166666666665,0.395,4.875,62.800000000000004,-3.10903
2017,111.5665488981,1286.25,2.1301,60000.75,63.9,102.5260725,1204.6666666666667,99.99999166666667,76.619325,0.489,100.95788333333331,96.76666666666665,1.0016666666666667,4.358333333333333,62.850000000000016,-3.39306
2018,114.124685798375,1327.8333333333333,2.4426,61417.5,64.4,103.8065925,1246.8333333333333,103.15009166666668,79.67376666666665,0.486,101.25388333333332,98.36666666666666,1.8316666666666668,3.891666666666666,62.883333333333326,-3.77157
2019,116.0389300171,1387.0,1.8122,62605.5,64.6,104.50475250000001,1291.5,102.42934166666667,78.58870833333333,0.484,99.563555,95.9833333333333,2.158333333333333,3.675,63.099999999999994,-4.57028
2020,117.55889371435,1478.4166666666667,1.2336,60982.5,66.6,122.6031025,1393.5833333333333,95.06820833333332,72.80470833333334,0.488,99.76961666666665,81.54166666666666,0.3758333333333333,8.091666666666667,61.75,-14.69054
2021,122.9359379852,1737.5833333333333,4.6979,64409.0,65.5,121.599,1604.75,99.24497500000001,77.55664166666668,0.494,101.656225,77.61666666666666,0.07999999999999999,5.3500000000000005,61.666666666666664,-11.76293
2022,131.61648122232498,1681.8333333333333,8.0028,65419.75,65.8,119.772345,1552.0,102.60818333333333,80.315575,0.488,100.06849083333331,58.975,1.6833333333333336,3.633333333333333,62.24166666666665,-5.3446
2023,136.40116491215,1518.0833333333333,4.1003,66096.0,65.9,119.6352875,1421.4166666666667,102.81654166666668,79.30689166666666,0.484,98.65399916666665,65.35,5.024166666666666,3.625,62.625,-6.1903
